ID,Title,Author,ISBN-10,ISBN-13,ASIN,Publisher,Year Published,Page Count,Category,Format,Ownership Status,Date Added,Is Favorite,Book Source,Reading Status,Start Date,End Date,Rating
UTGnopblxt8C,The Art of War,Sun Tzu,,9780486425573,,Courier Corporation,2002,99,"History, Technology & Engineering",Paperback,Not Owned,"Feb 9, 2024",No,googleBooks,Finished,,"Feb 9, 2024",0/5
reviEAAAQBAJ,How to Memorize Scripture for Life,Andrew M. Davis,,9781433591051,,Crossway,2024,49,Religion,Paperback,Not Owned,"Feb 9, 2024",No,googleBooks,Wishlist,,,0/5
tAl3zwEACAAJ,Personality and Worldview,Johan Herman Bavinck,,9781433584855,,,2023,0,Personality,Paperback,Not Owned,"Feb 9, 2024",No,googleBooks,Wishlist,,,0/5
e5rWEAAAQBAJ,Remaking the World,Andrew Wilson,,9781433580567,,Crossway,2023,479,Religion,Paperback,Not Owned,"Jan 9, 2024",No,googleBooks,Finished,"Feb 18, 2024","May 18, 2024",3/5
vhRCPgAACAAJ,The Quest for Cosmic Justice,Thomas Sowell,9780684864631,,,Free Press,2002,0,Political Science,Paperback,Not Owned,"Jan 30, 2024",No,googleBooks,Finished,,"Feb 8, 2024",4/5
emnVmM2q6F4C,That Hideous Strength,Clive Staples Lewis,9780007157174,,,HarperCollins UK,2005,12,College teachers,Paperback,Not Owned,"Jan 30, 2024",No,googleBooks,Finished,,"Jan 30, 2024",5/5
sj9W_BAmOhgC,Out of the Silent Planet,Clive Staples Lewis,9780007157150,,,HarperCollins UK,2005,42,Alien abduction,Paperback,Not Owned,"Jan 30, 2024",No,googleBooks,Finished,,"Jan 19, 2024",4/5
hPRFPrbIXuAC,Perelandra,Clive Staples Lewis,9780007157167,,,HarperCollins UK,2005,40,College teachers,Paperback,Not Owned,"Jan 30, 2024",No,googleBooks,Finished,,"Jan 22, 2024",4/5
lTFDDwAAQBAJ,Why Liberalism Failed,Patrick J. Deneen,9780300223446,,,Yale University Press,2018,248,History,Paperback,Not Owned,"Dec 11, 2023",No,googleBooks,Finished,,"Jan 15, 2024",5/5
SDlruQAACAAJ,The Death of Ivan Ilyich,graf Leo Tolstoy,9781600964336,,,,2008,88,Fiction,Paperback,Not Owned,"Jan 8, 2024",No,googleBooks,Finished,,"Jan 8, 2024",4/5
ox7aNVgljlMC,Worldly Saints,Leland Ryken,,9780310874287,B003TO59O6,Zondervan Academic,2010,300,Religion,Paperback,Owned,"Oct 1, 2023",No,googleBooks,Wishlist,,,0/5
_HVxswEACAAJ,"Marriage, Divorce and Remarriage",Jim Newheiser,,9781629953168,,,2017,0,Church work with married people,Paperback,Not Owned,"Jan 8, 2024",No,googleBooks,Finished,,"Sep 8, 2023",0/5
piC_EAAAQBAJ,How to Stay Married,Harrison Scott Key,,9781668015506,,Simon and Schuster,2023,320,Biography & Autobiography,Paperback,Not Owned,"Jan 8, 2024",No,googleBooks,Finished,,"Oct 8, 2023",0/5
ScHLEAAAQBAJ,Feel-Good Productivity,Ali Abdaal,,9781250865038,,,2023,0,Philosophy,Paperback,Not Owned,"Jan 8, 2024",No,googleBooks,Wishlist,,,0/5
X02TzN09yHYC,The Odyssey of Political Theory,Patrick J. Deneen,,9780847696239,,Rowman & Littlefield,2000,292,Literary Criticism,Paperback,Not Owned,"Jan 8, 2024",No,googleBooks,Wishlist,,,0/5
koCHEAAAQBAJ,Regime Change,Patrick J. Deneen,,9780593086919,,Penguin,2023,289,Political Science,Paperback,Not Owned,"Jan 8, 2024",No,googleBooks,Finished,"Dec 30, 2024","Dec 30, 2024",0/5
MOJZ8ihldbAC,The Year of Magical Thinking,Joan Didion,,9781400078431,,Vintage,2007,242,Biography & Autobiography,Paperback,Not Owned,"Jan 8, 2024",No,googleBooks,Finished,,"Jan 2, 2024",0/5
KpXAPAAACAAJ,The Score Takes Care of Itself,Bill Walsh,,9781591842668,,,2009,0,Business & Economics,Paperback,Not Owned,"Jan 8, 2024",No,googleBooks,Finished,,"Dec 28, 2023",0/5
RDQEAQAAIAAJ,"Marriage, a History",Stephanie Coontz,32106018638442,,B002I1XRZY,Viking Adult,2005,456,Marriage,eBook,Owned,"Dec 13, 2023",No,googleBooks,Abandoned,"Feb 18, 2024",,0/5
xHr-uN4XpAgC,Religion in Human Evolution,Robert N. Bellah,,9780674061439,,Harvard University Press,2011,777,History,Paperback,Not Owned,"Dec 13, 2023",No,googleBooks,Finished,,"Feb 1, 2023",0/5
iVKkmAEACAAJ,What Did You Expect?,Paul David Tripp,,9781433511769,,Crossway,2010,0,Marriage,Paperback,Not Owned,"Dec 13, 2023",No,googleBooks,Finished,,"May 1, 2023",0/5
ujxrDwAAQBAJ,Sandworm,Andy Greenberg,,9780385544412,,Anchor,2019,370,Computers,Paperback,Not Owned,"Dec 12, 2023",No,googleBooks,Finished,,"Jan 1, 2023",0/5
_9xbj9I3Sb8C,HBR's 10 Must Reads on Managing Yourself,Harvard Business Review,,9781422157992,,Harvard Business Press,2010,210,Business & Economics,Paperback,Not Owned,"Dec 12, 2023",No,googleBooks,Finished,,"May 13, 2023",0/5
wjyEzwEACAAJ,Street Smarts,Gregory Koukl,,9780310139133,,,2023,0,RELIGION,Paperback,Not Owned,"Dec 12, 2023",No,googleBooks,Finished,,"Sep 13, 2023",0/5
u_JXEAAAQBAJ,Discipline Is Destiny,Ryan Holiday,,9780593191699,,Penguin,2022,353,Business & Economics,Paperback,Not Owned,"Nov 26, 2023",No,googleBooks,Finished,,"Dec 13, 2023",0/5
gBfXEAAAQBAJ,Elon Musk,Walter Isaacson,,9781982181284,,Simon and Schuster,2023,688,Biography & Autobiography,Paperback,Not Owned,"Nov 26, 2023",No,googleBooks,Finished,,"Nov 13, 2023",0/5
jcn5zgEACAAJ,Biblical Critical Theory,Christopher Watkin,9780310128724,,,Zondervan Academic,2022,0,Apologetics,Paperback,Not Owned,"Jan 9, 2023",No,googleBooks,To Read,"Feb 18, 2024",,0/5
J-Y3zwEACAAJ,The 2-Hour Cocktail Party: How to Build Big Relationships with Small Gatherings,Nick Gray,,9781544530079,,Lioncrest Publishing,2022,276,Business & Economics,Paperback,Not Owned,"Aug 3, 2022",No,googleBooks,Finished,,"Mar 13, 2023",0/5
2mIrEAAAQBAJ,The Nicomachean Ethics,Aristotle,,9780140449495,,Penguin,2004,401,Philosophy,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Abandoned,"Feb 18, 2024",,0/5
QkY_DwAAQBAJ,INSPIRED,Marty Cagan,,9781119387541,,John Wiley & Sons,2017,368,Business & Economics,Paperback,Not Owned,"Jan 21, 2023",No,googleBooks,Wishlist,,,0/5
TyIrywEACAAJ,Software Engineering at Google,Titus Winters,,9781492082798,,,2020,0,Computers,Paperback,Not Owned,"Jan 21, 2023",No,googleBooks,Wishlist,,,0/5
SRnBEAAAQBAJ,An Elegant Puzzle,Will Larson,,9781953953339,,Stripe Press,2019,281,Computers,Paperback,Not Owned,"Jan 21, 2023",No,googleBooks,Wishlist,,,0/5
50701156,The Pragmatic Programmer: Your Journey to Mastery,Andy Hunt,,,,David Thomas,2019,0,,Paperback,Not Owned,"Jan 21, 2023",No,manual,Wishlist,,,0/5
pD6-swEACAAJ,A Philosophy of Software Design,John K. Ousterhout,,9781732102200,,Yaknyam Press,2018,178,Computers,Paperback,Not Owned,"Jan 21, 2023",No,googleBooks,Wishlist,,,0/5
