ID,Book ID,Book Title,Type,Title,Details,Study Level,Date Added,Is Kindle Highlight,Kindle Location
3195654C-2870-406E-AC4C-8A922D17F170,e5rWEAAAQBAJ,Remaking the World,Quote,," 132 ORIGINS We can see this even if we limit ourselves to the language used in the paragraph Franklin was editing. As we saw in chapter 4, the Declaration's famous preamble depends heavily on Algernon Sidney and especially John Locke, who argued that there was ""nothing more evident"" than the equality of human beings and that ""being all equal and independent, no one ought to harm another in his life, health, liberty, or possessions.""* In saying this, Locke was not innovating. He made it very explicit that he was also borrowing, in his case from a passage in the Laws of Ecclesiastical Polity by the Reformed theologian Richard Hooker (1554-1600): ""This equality of men by nature, the judicious Hooker looks upon as so evident in itself, and beyond all question, that he makes it the foundation of that obligation to mutual love amongst men, on which he builds the duties they owe one another, and from whence he derives the great maxims of justice and charity.""' And Hooker was not being original either. He was standing in a rich tradition of Christian reflection on theology and government stretching back to the church fathers and beyond; in the passage cited by Locke, Hooker was quoting directly from the Code of Justinian and Christ's words in Matthew's Gospel. "" So yes, the equality of all humans seemed staringly obvious (at least in theory) to Franklin and Jefferson. But that was because their culture was saturated with Christian assumptions-so much so that the concepts and phrases they used were taken from Locke, who had got them from Hooker, who had got them from Scripture. Franklin's brief, scribbled correction is a marvelous metaphor for the ex-Christian West. His replacement of the words ""sacred and undeniable"" with ""self-evident"" echoes what was happening across European society as a whole in 1776, at least among elites. It was an attempt to retain Chris- tianity's moral conclusions while scrubbing out its theological foundations: keeping the fruits while severing the roots, if you will. And it resulted in the insistence that Judeo-Christian convictions on anthropology and eth- ics were now to be regarded as universal norms on which all reasonable people would agree. The last two centuries have provided plenty of other metaphors for post- Christianity. Consider the common academic practice of replacing BC and AD with BCE and CE, as if the Common Era was grounded in ""self- evident"" truth rather than ""sacred"" belief. Or take the 9/11 wars, in which",1,"Feb 21, 2024",No,0
A6585313-0B41-4370-869C-0BC53A2AE1DA,E6DpzgEACAAJ,How to Inhabit Time,Quote,,"The philosophers you'll meet in the pages that follow are catalysts for such reflection. Don't worry if philosophy doesn't come easily to you. The difficulty is the point (""a feature, not a bug,"" as they say). Sometimes we need the difficulty to get us to slov down and look at ourselves. Slowing down is how we learn to notice what we usually speed past. So just as crucial to the spiritual exercise of this book is an array of images and anecdotes, portraits of time from nature, art, and history, some drawn from my own story, all of which are invitations to reflect on what's right in front of us yet so often invisible. Imagine this book as an impressionist painting of sorts. The point isn't to ""picture reality"" by tran- scribing it; the point is to transform our attention to reality by reframing our focus. The pictures and poems and images are not detours or distractions or ""illustrations."" Don't rush to get through them in order to get to ""the point.""",1,"Mar 17, 2024",No,0
3AE506B2-473A-40A8-9CE3-AE08C2CDA4FB,E6DpzgEACAAJ,How to Inhabit Time,Quote,,"There is a kind of temporal dislocation akin to such un- recognized disorientation. I'm thinking of a kind of temporal disorientation that is unrecognized because it's buried and hidden by the illusion of being above the fray, immune to history, surfing time rather than being immersed and battered by its waves. Such temporal disorientation stems from the delusion of being ""nowhen,"" unconditioned by time. Those who imagine they inhabit nowhen imagine themselves wholly governed by timeless principles, unchanging convictions, expressing an idealism that assumes they are wholly governed by eternal ideas untainted by history. They are oblivious to the deposits of history in their own unconscious. They have never considered the archaeological strata in their own souls. They live as if hatched rather than born, created ex nihilo rather than formed by a process. They don't realize that the homes that formed them were clocks. They can't hear the ticking. Where such an eternal nowhen rules, time doesn't matter.",1,"Mar 17, 2024",No,0
E1584217-EF13-4C55-BFF3-A806E4C8F60A,E6DpzgEACAAJ,How to Inhabit Time,Quote,," But the question isn't simply what's true; the question is what needs to be said and done now, in this place and in this moment given this particular history. To assert that ""All Lives Matter"" as a response to ""Black Lives Matter"" is not wrong in principle but temporally. It fails to recognize that ""Black Lives Matter"" is something that has to be said here and now because of a specific (contingent) history that got us here. The assertion of the ideal, timeless truth that ""All Lives Matter"" is performatively false in such a situation. It lacks prudence and does not constitute faithful witness here, in this now. Our (shared) history makes all the difference for discerning what faithfulness looks like.",1,"Mar 17, 2024",No,0
E2E623AF-3825-4EA3-891D-DA7F98D71216,E6DpzgEACAAJ,How to Inhabit Time,Note,I’ve been formed,"I have been formed. I was formed being formed. Layer on layer of idea and experience and reflection on that experience by my self at that time is what has led me to now. 

This should humble me. Should I wish that it weren’t so?  Eternity is bound up is The hearts of men. It is hard not to aspire to a view from no when. ",1,"Mar 17, 2024",No,0
BBE151F1-C251-48E0-8EFD-03D3D3D323F2,E6DpzgEACAAJ,How to Inhabit Time,Note,Live in relationship ,"We do not live my eternal principles but in a relationship. This relationship takes place in time with one who created and be came a created being in time. 

Wanting to live by principles is a rejection of living by faith in relationship. ",1,"Mar 17, 2024",No,0
E023519E-4D4A-4FAE-A36B-6C1A5D79FB05,E6DpzgEACAAJ,How to Inhabit Time,Quote,,"Things change in time, and that change is momentous- an emigration from darkness to light (ph. 5:8), from death to life (Eph. 2:4 5), from nonbeing to being (1 Cor. 1:28). The moment is charged and pregnant, a turning point for the cosmos. History matters. What happens makes a difference. When I, at some point in time, am confronted with the mystery that the eternal God became human in the fullness of time, ""then the moment in time must have such de- cisive significance that for no moment will I be able to forget it, neither in time nor in eternity, because the eternal, previously nonexistent, came into existence in that moment.""s Time and history are not just pseudostages on which to roll out timeless truths, like some mock unveiling of an open secret; rather, the truth is born at the very intersection of time and eternity, like a chemical reaction that requires both components.",1,"Mar 18, 2024",No,0
04E52EC2-483B-4FE9-9592-4AE2B8B9B6B4,E6DpzgEACAAJ,How to Inhabit Time,Quote,,"In 1927 a young, as-yet-unknown German philosopher named Martin Heidegger, a student of Kierkegaard, gave a lec- ture to the theologians at the university in Marburg. Musing on the nature and calling of theology, Heidegger emphasized, shockingly, that theology's ""topic"" was not God but instead what he called Christlichkeit-""Christianness,"" or the how of Christian existence. Theology, he emphasized, should reflect the very nature of faith, which is ""not some more or less modi- fied type of knowing"" but rather a faith-full way of being in response to the event of revelation in ""Christ, the crucified God."" Faith is a how and, more specifically, a way of living in light of an event. Faith-the existential transformation called ""rebirth""—is a mode of participating in the Christ-event. Be- cause of this, Heidegger doesn't talk about ""Christianity"" as an abstraction or something merely to be believed. Instead, he speaks of ""the Christian occurrence"" —the Christ-happening. ",1,"Mar 18, 2024",No,0
CAF066FF-DE00-452E-AE35-06651CCFEE3A,E6DpzgEACAAJ,How to Inhabit Time,Flash Card,Four Fundamental Convictions,"1.  Spiritual Timekeeping is the working out of our creaturely finitude as creatures embedded in time 
2.  Spiritual Timekeeping reflects a sense of time shaped by covenant—a promise made in history reverberates through subsequent time.
3.  Spiritual Timekeeping is nourished by Jesus’s promise that the Spirit will guide us into all truth across time. 
4.  Spiritual Timekeeping is animated by the future. ",1,"Mar 18, 2024",No,0
9AFBAF22-9A81-4D12-BBDE-5169ADE246BA,E6DpzgEACAAJ,How to Inhabit Time,Quote,,"Reflecting on the music of composer Thomas Adès, critic Matthew Aucoin offers a generative metaphor: ""History is not a dead weight... but rather a still-living, ever-mutating com- post heap, a fertile ecosystem within which we forage, hunt, build. »26 History is alive in us and in our institutions. Because our history is never past, discernment is a core virtue of tem- poral faithfulness. We are growing in this compost of history that needs to be sifted: there is certainly refuse to leave behind, but also transmogrifications of our past that are now fertile soil for a different future. Some seedlings are emerging that we might transplant.",1,"Mar 24, 2024",No,0
