ID,Title,Type,Book IDs,Book Titles,Date Created
F7C098F6-1C08-4AC9-9EB4-169DF527ABD1,History,Categories,UTGnopblxt8C;lTFDDwAAQBAJ;xHr-uN4XpAgC;bs5vDwAAQBAJ;OT-dEAAAQBAJ;DSwoDQAAQBAJ;7Q7-CDK0G24C;mO9mEAAAQBAJ;dE9KEQAAQBAJ,The Art of War;Why Liberalism Failed;Religion in Human Evolution;How the Irish Saved Civilization;Caste;Narrative of the Life of Frederick Douglass (Second Edition);The Gulag Archipelago Volume 1;From Caligari to Hitler;The Wide Wide Sea,"Feb 18, 2024"
2470EFDF-B687-4111-8F2B-88E470E0107F,Technology & Engineering,Categories,UTGnopblxt8C;uOMt_XCo81QC;9iv70AEACAAJ;XNb_0AEACAAJ,"The Art of War;The Idea Factory;The Unaccountability Machine;Powerful, Profitable Software Products","Feb 18, 2024"
7530DC7D-62E6-4326-AF2E-D1735E8F578F,Religion,Categories,Du5kvAEACAAJ;reviEAAAQBAJ;-eUbFMEY49QC;FAqvzgEACAAJ;rDWTvBVXeG8C;4pNTPwAACAAJ;ot2bEAAAQBAJ;XGUF8rLX0sQC;377qgxL6RPoC;SCbNEAAAQBAJ;BYEvLgEACAAJ;UOg7OgAACAAJ;cTqsF2XCMR8C;RcasMAMq48IC;CzMlqAAACAAJ;TCRTCgAAQBAJ;RYfsWMRJpQkC;E6DpzgEACAAJ;ox7aNVgljlMC;wODaCwAAQBAJ;V8SdfTzr8KcC;3YYNAAAACAAJ;YBdiQgAACAAJ;_92CMWUPv3UC;jvWswb_s1oEC;7MAnMQEACAAJ;_g2g1iz8yIMC;W9KF_I-DB9EC;gueZIor5UXYC;WQEoAQAACAAJ;M5df9T6QJjMC;HIE9PgAACAAJ;e5rWEAAAQBAJ;32dY-DjEzcoC;rlcFAAAACAAJ;wjyEzwEACAAJ;5BAFAAAACAAJ;R9txtAn3T9AC;v6vlmAEACAAJ;W9XgUStQgv4C;YekzpS1KkfkC;G9kSn8K1IywC;0IqepmcENYEC;ldMvEAAAQBAJ;KSk-DwAAQBAJ;p6_sEAAAQBAJ;y1ebEAAAQBAJ;4WN5DwAAQBAJ;wAOzEAAAQBAJ;odZAvQEACAAJ;eKcVd5XdZJwC;fg_uEAAAQBAJ;A1cFDgAAQBAJ;pOzNcdmhjIYC;wGkbEAAAQBAJ;TkIvEQAAQBAJ;HC94wgEACAAJ;Goa7swEACAAJ;TmumDwAAQBAJ;cX1JwgEACAAJ;zMFKwgEACAAJ;R3A1LgEACAAJ;IkPEp_9UyYAC;g8q3BQAAQBAJ;Q3KwZ2eEhAsC;T85MwgEACAAJ;lzIY2uHpgngC;Pw8H0QEACAAJ;J4qHCF5kAh4C;t7d3EAAAQBAJ;z5-x0AEACAAJ,The Divine Conspiracy;How to Memorize Scripture for Life;The Reason for God;The Air We Breathe;The Gift of Being Yourself;The Coming of the Kingdom;The Common Rule;Sticky Teams;Preaching and Preachers;Ghosted;Imagining the Kingdom;The Rare Jewel of Christian Contentment;The Screwtape Letters;The Screwtape Letters (Enhanced Special Illustrated Edition);Simply Christian;The Person of Christ;Outgrowing the Ingrown Church;How to Inhabit Time;Worldly Saints;Every Good Endeavor;Bold Love;Understanding Dispensationalists;The Eyes of the Heart;Celebration of Discipline;The Cross of Christ;When the Word Leads Your Pastoral Search;After Enlightenment;The Spirit of the Disciplines - Reissue;The Tao of Pooh;Faithful Feelings;Surprised by Hope;The Everlasting Man;Remaking the World;The Holiness of God;The Enemy Within;Street Smarts;The God Who Is There;Resident Aliens;The Universe Next Door;Keeping the Sabbath Wholly;Dynamics of Spiritual Life;An Old Testament Theology;God's Big Picture;Gun Lap;The Call;Shepherds for Sale;God and Money;Seculosity;Personality and Worldview;Christian Worldview;A Calendar of Wisdom;Bright Shining;Modern Physics and Ancient Faith;Mind and Cosmos;Being the Bad Guys;A Praying Life;Does God Control Everything?;7 Experiment;Accidental Saints;What Is the Trinity?;Can I Trust the Bible?;Can I Have Joy in My Life?;Everyday Prayers;Finding Truth;The Mystery of the Holy Spirit;What Is the Relationship Between Church and State?;Fierce Women;The Puritans;Pilgrim at Tinker Creek;The Secret Place of Thunder;One with My Lord,"Feb 18, 2024"
39EC69CB-5CA2-4266-93CF-7AD306CB17EE,Political Science,Categories,ZkR0DwAAQBAJ;TEs0AAAAMAAJ;koCHEAAAQBAJ;vhRCPgAACAAJ;SCbNEAAAQBAJ;p6_sEAAAQBAJ;-9xxEAAAQBAJ;V0PREAAAQBAJ;9iv70AEACAAJ;T85MwgEACAAJ,Discrimination and Disparities;The Technological Society;Regime Change;The Quest for Cosmic Justice;Ghosted;Shepherds for Sale;Of Boys and Men;Poverty for Profit;The Unaccountability Machine;What Is the Relationship Between Church and State?,"Feb 18, 2024"
772ACA6B-A4C4-4B47-9A67-52978003767E,College Teachers,Categories,hPRFPrbIXuAC;emnVmM2q6F4C,Perelandra;That Hideous Strength,"Feb 18, 2024"
4ED55E6F-09C0-4647-BF7A-3E2DD189CF87,Alien Abduction,Categories,sj9W_BAmOhgC,Out of the Silent Planet,"Feb 18, 2024"
512329FE-ADED-4DCD-B848-C2ED664C8CA1,Fiction,Categories,DjEGvymiKPoC;xAJ4OwAACAAJ;wcd8DgAAQBAJ;SDlruQAACAAJ;zIvzT2k1mvkC;JZ5UFcsMaKAC;pWyLDQAAQBAJ;WZ0f_yUgc0UC;vNjyAAAAMAAJ;tbwsTtuHmX4C;UMkPPsTIoh8C;RMd3GpIFxcUC;5CBvDaWGdUAC;Cz51I6-b1nYC;Jf_7HiRbQ-IC;19a89tylSp8C;rhyQEAAAQBAJ;UdnSAAAAMAAJ;NdMnAQAAIAAJ;-BgJEAAAQBAJ;6whEDgAAQBAJ;oBh3R5UWHWkC,"The Castle of Llyr;The Talisman;Unbroken (The Young Adult Adaptation);The Death of Ivan Ilyich;The High King;The Lord of the Rings;Slaughterhouse-Five;The Return Of The King;Cry, the Beloved Country;The Black Cauldron;The Two Towers;Snow Crash;Gulliver's Travels;Night Thoughts of a Classical Physicist;The Scarlet Letter;Taran Wanderer;Jayber Crow;The Catcher in the Rye;The Old Man and the Boy;Harry and the Lady Next Door;Dick and Jane: Fun with Dick and Jane;Caps for Sale","Feb 18, 2024"
4E72C2FA-FDE9-47D8-B0A8-0AAC87AB3792,Church Work With Married People,Categories,_HVxswEACAAJ,"Marriage, Divorce and Remarriage","Feb 18, 2024"
B24EF898-231E-4C60-B0D7-924D9BD5E6ED,Biography & Autobiography,Categories,1TosAQAAIAAJ;SCbNEAAAQBAJ;oSg8zgEACAAJ;ytIfuJ8zzeUC;D_u5AAAAIAAJ;MOJZ8ihldbAC;gBfXEAAAQBAJ;piC_EAAAQBAJ;fg_uEAAAQBAJ;DSwoDQAAQBAJ;pOzNcdmhjIYC;J4qHCF5kAh4C;dE9KEQAAQBAJ,Manhood for Amateurs;Ghosted;The Real Anthony Fauci;Karl Marx: A Nineteenth-Century Life;The Big Three in Economics;The Year of Magical Thinking;Elon Musk;How to Stay Married;Bright Shining;Narrative of the Life of Frederick Douglass (Second Edition);Mind and Cosmos;Pilgrim at Tinker Creek;The Wide Wide Sea,"Feb 18, 2024"
455A26DA-30A0-4624-912B-76B2556F375A,Philosophy,Categories,CSipEAAAQBAJ;v6MwDwAAQBAJ;izy9Tg6rmb8C;gueZIor5UXYC;mGxsoCQjreoC;SiLXAAAAMAAJ;XHQQAQAAIAAJ;4Wu2QgAACAAJ;Lafvo9ghqBsC;qS3pJL_BcdkC;ScHLEAAAQBAJ;hWRXYY3HRFoC;2mIrEAAAQBAJ;ANfH1fmvBKIC;J8DpEAAAQBAJ;pOzNcdmhjIYC;lUp1AgAAQBAJ;U6asEAAAQBAJ;J4qHCF5kAh4C;9nxyCgAAQBAJ;IBPcy-_epoIC;qG1MEQAAQBAJ;EhbS0AEACAAJ,"Regime Change;Alternative Modernity;Godel, Escher, Bach;The Tao of Pooh;Pensées;Pursuit of Truth;The Way of the (modern) World, Or, Why It's Tempting to Live as If God Doesn't Exist;After Virtue;The Structure of Scientific Revolutions;Technology and the Character of Contemporary Life;Feel-Good Productivity;A Secular Age;The Nicomachean Ethics;The Cost of Discipleship;How to Think Like Socrates;Mind and Cosmos;The Obstacle Is the Way;How to Know a Person;Pilgrim at Tinker Creek;How (Not) to Be Secular;Radical Hermeneutics;Against the Machine;Believe","Feb 18, 2024"
AA00DA23-21A8-444A-B3E0-279C09BE8DE2,Literary Criticism,Categories,dAhzEAAAQBAJ;3QOZBAAAQBAJ;gueZIor5UXYC;X02TzN09yHYC;MfgZEAAAQBAJ;J4qHCF5kAh4C,War and Peace;How to Read a Book;The Tao of Pooh;The Odyssey of Political Theory;Recovering the Lost Art of Reading;Pilgrim at Tinker Creek,"Feb 18, 2024"
1644F5D7-95FD-4D0B-8EA2-2A10A6716ECB,Business & Economics,Categories,mgdKCyS1bToC;a-jkDwAAQBAJ;VAsfvgAACAAJ;u_JXEAAAQBAJ;7EI7EAAAQBAJ;_9xbj9I3Sb8C;q13HAgAAQBAJ;ICSpCwAAQBAJ;4bEty3TO-R8C;2bynDgAAQBAJ;WXcHwzaUd4MC;H6x-DwAAQBAJ;J-Y3zwEACAAJ;ZkR0DwAAQBAJ;QkY_DwAAQBAJ;K4X2xwEACAAJ;SHvzzuCnuv8C;620pAgAAQBAJ;slTWCwAAQBAJ;dsN3CgAAQBAJ;u2NDDwAAQBAJ;KpXAPAAACAAJ;1u6_DwAAQBAJ;evw5ywEACAAJ;29wHEQAAQBAJ;XfFvDwAAQBAJ;7e-2EAAAQBAJ;6rArzgEACAAJ;AmkBDAAAQBAJ;9iv70AEACAAJ;zRUN0AEACAAJ;lUp1AgAAQBAJ;Cj9s1QihGPIC;qJFQqVa_p3YC;vnFrEAAAQBAJ,"The Innovator's Dilemma;The Art of Leadership;Talk Like TED;Discipline Is Destiny;Build;HBR's 10 Must Reads on Managing Yourself;Death by Meeting;Sprint;Getting to Yes;A Failure of Nerve;Getting Things Done;The Phoenix Project;The 2-Hour Cocktail Party: How to Build Big Relationships with Small Gatherings;Discrimination and Disparities;INSPIRED;Exactly What to Say;Thinking, Fast and Slow;The Hard Thing About Hard Things;The Ideal Team Player;The Five Dysfunctions of a Team;Measure What Matters;The Score Takes Care of Itself;No Rules Rules;The Science of Rapid Skill Acquisition;Main Street Millionaire;Atomic Habits;Same as Ever;Lead, Develop, Care;Anything You Want;The Unaccountability Machine;The First Minute;The Obstacle Is the Way;The Advantage;Playing to Win;Buy Back Your Time","Feb 18, 2024"
57D2BCA0-195C-4039-A884-2D92A50907EC,Marriage,Categories,iVKkmAEACAAJ;RDQEAQAAIAAJ,"What Did You Expect?;Marriage, a History","Feb 18, 2024"
2A84E73B-817E-4C92-B320-A8B62FD56622,Computers,Categories,5ZuPjdO8LLoC;pD6-swEACAAJ;tmNNfSkfTlcC;ujxrDwAAQBAJ;TyIrywEACAAJ;iL34DwAAQBAJ;32RGBAAAQBAJ;kYZHCgAAQBAJ;pmVHAAAAMAAJ;SRnBEAAAQBAJ;U5VCAwAAQBAJ;ugnjngEACAAJ;a-jkDwAAQBAJ;SRQHcjljUtwC,"Extreme Programming Installed;A Philosophy of Software Design;Design Patterns;Sandworm;Software Engineering at Google;Structure and Interpretation of Computer Programs, second edition;Extreme Programming Explained;Fluent Python;The Second Self;An Elegant Puzzle;Software Estimation;The Electronic Word;The Art of Leadership;What Is Node?","Feb 18, 2024"
D2D9220D-B3E7-4C74-9578-B82A27CE0C6E,Apologetics,Categories,jcn5zgEACAAJ,Biblical Critical Theory,"Feb 18, 2024"
473A82C2-1C8B-403A-A346-70C20214EB36,Self-Help,Categories,K4X2xwEACAAJ;620pAgAAQBAJ;tmmOvqV4MboC;evw5ywEACAAJ;J8DpEAAAQBAJ;XfFvDwAAQBAJ;fg_uEAAAQBAJ;7e-2EAAAQBAJ;lUp1AgAAQBAJ;U6asEAAAQBAJ;jciXDwAAQBAJ;z9CaDwAAQBAJ;Rst_EAAAQBAJ;Pp-IDwAAQBAJ;AxwZbWhvG0sC;NGA9DwAAQBAJ;l3dtEAAAQBAJ;EhbS0AEACAAJ,Exactly What to Say;The Hard Thing About Hard Things;The 48 Laws of Power;The Science of Rapid Skill Acquisition;How to Think Like Socrates;Atomic Habits;Bright Shining;Same as Ever;The Obstacle Is the Way;How to Know a Person;How to Be a Leader;Leadership in Turbulent Times;The Wisdom of the Bullfrog;What You Do Is Who You Are;How to Read Slowly;Nudge;The Creative Act;Believe,"Feb 18, 2024"
9EAB3CF4-F234-4BAF-BB1E-85DEA175AAAB,Young Adult Nonfiction,Categories,wcd8DgAAQBAJ,Unbroken (The Young Adult Adaptation),"Feb 18, 2024"
4BA6CAC4-9A8F-470B-9636-DF70334DA6FA,Poetry,Categories,_b8EwwEACAAJ;naCMEAAAQBAJ;HQdPEAAAQBAJ;-nbItAEACAAJ;J4qHCF5kAh4C;xK85swEACAAJ,Precious Remedies Against Satan's Devices;The Odyssey;The Aeneid;The Iliad (AmazonClassics Edition);Pilgrim at Tinker Creek;The Odyssey (AmazonClassics Edition),"Feb 18, 2024"
3E1B2821-94E4-420C-A0EC-9F5A49170F5F,Family & Relationships,Categories,oSg8zgEACAAJ;fg_uEAAAQBAJ,The Real Anthony Fauci;Bright Shining,"Feb 18, 2024"
5501CE72-0DCB-4583-9C9F-784785B34E42,Science,Categories,Aa__0_24WyoC;vhRCPgAACAAJ;oSg8zgEACAAJ;koCHEAAAQBAJ;TEs0AAAAMAAJ;RMd3GpIFxcUC;Vl2NEAAAQBAJ;ZkR0DwAAQBAJ;Ol6xDwAAQBAJ;W2W2AAAAIAAJ;NqEhEAAAQBAJ;SCbNEAAAQBAJ;pbqkDwAAQBAJ;p6_sEAAAQBAJ;y1ebEAAAQBAJ;4WN5DwAAQBAJ;mO9mEAAAQBAJ;-9xxEAAAQBAJ;V0PREAAAQBAJ;OT-dEAAAQBAJ;A1cFDgAAQBAJ;pOzNcdmhjIYC;T85MwgEACAAJ;9iv70AEACAAJ;U6asEAAAQBAJ;J4qHCF5kAh4C;HFHpCAAAQBAJ;qG1MEQAAQBAJ,The Sacred Canopy;The Quest for Cosmic Justice;The Real Anthony Fauci;Regime Change;The Technological Society;Snow Crash;The Culture of Narcissism;Discrimination and Disparities;Apocalypse Never;Invitation to Sociology;The Social Construction of Reality;Ghosted;The Coddling of the American Mind;Shepherds for Sale;God and Money;Seculosity;From Caligari to Hitler;Of Boys and Men;Poverty for Profit;Caste;Modern Physics and Ancient Faith;Mind and Cosmos;What Is the Relationship Between Church and State?;The Unaccountability Machine;How to Know a Person;Pilgrim at Tinker Creek;The Secret of Our Success;Against the Machine,"Feb 18, 2024"
2550DADF-CB36-40BF-930C-0F523B290ED9,Language Arts & Disciplines,Categories,iITzzQEACAAJ;FLum3ZYdfuQC;3QOZBAAAQBAJ;jciXDwAAQBAJ,Eloquence;The Columbian Orator;How to Read a Book;How to Be a Leader,"Feb 18, 2024"
797DA6C1-14C9-4434-9C33-8E18064DE1F8,Art,Categories,SaFKMcx1hGYC;3QOZBAAAQBAJ;FLum3ZYdfuQC;mO9mEAAAQBAJ;iITzzQEACAAJ;J4qHCF5kAh4C;jciXDwAAQBAJ;EVmminvaWDQC,Art in Action;How to Read a Book;The Columbian Orator;From Caligari to Hitler;Eloquence;Pilgrim at Tinker Creek;How to Be a Leader;Impro,"Feb 18, 2024"
